product_name,product_category,manufacturer,product_price,product_description,product_image_url
"6-inch Photo Frame Lovely Bear Painted Photoframe and Home Decoration, Blue",photo,broderbund,51.4,"Ships from Hongkong. These picture frames look wonderful as a statement piece in any room of your home. Perfect to decorate your home/office/corridor/pub/coffee shop. Transform the look of your home or office with this traditional frame. A excellent gift send to friends,families. You deserve to have it.",https://images-na.ssl-images-amazon.com/images/I/51pC6ZDYrdL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51mePnbVP0L._.jpg
"Ambesonne Tan Throw Pillow Cushion Cover, Striped Vintage Faded Squares and Angled Lines Dated Antique Display with Modern Pattern, Decorative Square Accent Pillow Case, 20 X 20 Inches, Beige Tan",pillow,computer associates,42.69,"Makeover and refresh your rooms with just a single touch! Start with these fun and decorative cushion cases. These unique designs match well with various color palettes of your sofa, couch, bed, bedding, rugs, curtains, bench, seating and all other decor accessories. Perfect for your home, office, playroom, kids room, cafe, study, studio, club, bar and others. Very durable and environmentally friendly, no dye substance harming the health of you and your family. Colors won't fade thanks to new digital printing methods. A perfect gift idea for your mom, dad, sister, brother, grandma, wife, husband and all other beloved ones with many of surprising designs. You can find a design for everybody and every interest in our Ambesonne Amazon Collection. They will be shocked by the superior quality of the item when they open the present. Customized, personalized products are very popular. As manufacturers of digital printed home textiles, we follow current trends and bring you the latest home fashion. Either a gift to your family or friend, relative or boyfriend girlfriend, or to yourself, the item should be interesting and authentic. The digital images we display have the most accurate color possible, however due to differences in computer monitors, we cannot be responsible for variations in color between the actual product and your screen. Due to manual measurement, please kindly allow 1-2 cm discrepancy. This is ONLY the pillow cover, sold WITHOUT the insert.",https://images-na.ssl-images-amazon.com/images/I/412tEZEE8OL._.jpg
"5Pairs Girl Clip-on Earrings Child Pendant Ear Clips for Pretend Play Princess Girl Birthday Gift, H",Accesorries,victory multimedia,23.06,"Ships from Hongkong. Every little girl likes to dress up herself beautifully, so this product is a good choice for them. There are a variety of styles for you to choose. This jewelry set is also a good birthday gift for girls. Perfect accessories for dressing up your girl for birthday parties and other fanciful occasions.",https://images-na.ssl-images-amazon.com/images/I/41-NOgsUf2L._.jpg|https://images-na.ssl-images-amazon.com/images/I/510rIQG2ssL._.jpg
Organic Farm Sign~Rustic Wood Sign~Food Sign~Wall Art~Country Farm Sign~Farm Sign~Fresh Food Sign~Farm Art~Kitchen Sign~Gift~Farmhouse Sign,sign,sage software,42.99,This will make you smile every time you look at it and will make a wonderful gift for friends and family.,https://images-na.ssl-images-amazon.com/images/I/510FYqgyw9L._.jpg
"Modern Wrought Iron Base Living Room Bedroom Bedside Table Lamp, Glass Lampshade Mini Reading Lamp for Office (Color : D)",bed,carry-a-tune technologies,245.92,"Each lamp is designed and handcrafted by the artists of our factory. This bedside table lamp, beautiful in appearance and soft in light, is ideal for your home décor. specification: Light source type: E27 Number of light sources: 1 Light bulb: not included Voltage: 220V Switch type: push button switch Applicable light source: incandescent lamp / energy saving lamp / LED bulb Applicable space: bedroom, study, living room, or you want to put it anywhere Decorative style: classic, European, antique, rustic, American, minimalist, modern, postmodern ??Tips: 1. Regardless of your situation, you can contact our customer service, our relevant personnel will solve the problem in the first time. 2. Manually measure the product. If the error is 1~2 cm, it is within the normal range. 3. When he is a child, he needs an adult to take care of him. 4. Delivery time: 8-15 working days, product return time is 30 days, if not received within 30 days, please contact us, if you are satisfied with our products, please give us actual feedback, thank you",https://images-na.ssl-images-amazon.com/images/I/219U-BbuRsL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31qDDSxPGqL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31Ure2qsIOL._.jpg
"Decorative Velvet Throw Cushion Cover, 30x30 Grey Velvet Pillow Case, Crewel Embroidery Floral, Couch Wool Cushion Cover, Grey Cushion Covers 30x30 cm - Crewel Floral",pillow,dantz,48.75,"Crewel Floral is an exclusive 100% handmade decorative cushion cover designed and created with intrinsic detailing. A perfect item to decorate your living room, bedroom, office, couch, chair, sofa or bed. The real color may not be the exactly same as showing in the pictures due to the color difference of monitors. Condition: 100% Brand New Dimension: 12 x 12 inch/30 x 30 cm Fabric: Linen Color: Grey Color Map: Grey Back of the Cover: Plain fabric with hidden flap covered zipper for easy insertion and removal of inserts",https://images-na.ssl-images-amazon.com/images/I/51mMcEUEpIL._.jpg|https://images-na.ssl-images-amazon.com/images/I/619iP2V8EiL._.jpg|https://images-na.ssl-images-amazon.com/images/I/61anB45u6eL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51Nkppf5q5L._.jpg
"Retro Rooster Beach Towels Polyester Quick Dry Soft Bath Sheets,Summer Cool Swim Large Bath Towels for Yoga Mat Beach Cover Blanket 31.5&quot X 51.2&quot",mat,adobe,39.99,"MULTIPURPOSE:Perfect Towel Or Mat For Bath,travel,sunbath,spa,sauna,water Park,fitness,travel,camping,hiking,picnic Camping,Sports,Showers At Campgrounds,beach,the Pool.Also They Are Ideal For Swimming,exercising,hiking,backpacking,Yoga,gym. You Can Also Use It As A Handy Travel Blanket. Please Wash It Separately Before First Use Especially For Dark Color. This Will Be Great For Lay On The Beach,cover Up/sun Shade For Women,a Cape To Protect Your Skin Against The Sun. QUICK DRYING &amp; SUPER ABSORBENT Our Microfiber Towel Is Made Of Premium Microfiber Material Which Features Faster Drying Up Than Normal Terry Cloth Or Cotton Towels, And Super Absorbent Can Hold Up To 3X Its Weight In Water. WIDELY USED: Perfect As Bath Towel When You Swimming Or Bath, You Also Use It As Fitness Towel Or Yoga Towel When You At Gym Or At Home. The Microfiber Travel Towels Take Up Very Little Space And Only Weight A Few Oz.It Can Be Easily Tucked Into Your Travel Bag, Gym Bag Or Backpack.Very Easy To Carry And Space Saving. PERFECT GIFTS:Get Someone The Perfect Birthday Present, Housewarming Gift, Or For A Bridal Or Baby Shower. Great For Holiday Gifting Or Any Special Occasions. Your Gift Will Certainly Love Your Novelty Towel Gift.",https://images-na.ssl-images-amazon.com/images/I/51V7hi2rMzL._.jpg
Dingyou valuable 6Pcs Makeup Brushes Set Foundation Powder Concealer Brushes(None),brush,nuance academic,12.48,"1. 100% New and High Quality!!! 2. Color: as shown in the picture 3. Package content:6pcs/set 4. The brush is soft and comfortable, does not irritate the skin 5. Material: nylon",https://images-na.ssl-images-amazon.com/images/I/31%2BkDnxLTsL._.jpg|https://images-na.ssl-images-amazon.com/images/I/319-2xFb3oL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31yxXAFwpTL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41wBhP%2BsFUL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41Bi1TzIMtL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41dm74jX7fL._.jpg
"Designer Navy Blue Throw Cushions Cover, Satin Ribbon Throw Cushions Cover, 35x35 cm Pillow Case, Square Silk Cushion Covers, Solid Modern Decorative Throw Cushion Covers - All Thats Navy",pillow,kutoka,41.69,"All Thats Navy is an exclusive 100% handmade cushion cover designed and created with intrinsic detailing. A perfect item to decorate your living room, bedroom, office, couch, chair, sofa or bed. The real color may not be the exactly same as showing in the pictures due to the color difference of monitors. Condition: 100% Brand New Dimension: 14x14 inch / 35x35 cm Fabric: Durable Art Silk Color: Navy Blue Color Map: Blue Back of the Cover: Plain fabric with hidden flap covered zipper for easy insertion and removal of inserts",https://images-na.ssl-images-amazon.com/images/I/51%2BmU8bD5XL._.jpg|https://images-na.ssl-images-amazon.com/images/I/516Er3PYMmL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41n5%2Bn-HI5L._.jpg
JTWJ Geometric Pattern Carpet Living Room Coffee Table Blanket Bedroom Full Shop Room Bedside Blanket Rectangle (100cm*150cm),bed,disney,99.34,"Hand-made color combinations, unique patterns, intense color brightness and contours make this woven carpet an elegant highlight of any home. Casual round rug for living room, dining room or bedroom. The anti-fouling, easy-maintaining man-made fiber has no fluff and high quality. product details: Material: coral fleece Size: 100cm*150cm shape: rectangle Pattern: Geometry Process: Machine weaving Style: Modern Cleaning type: vacuum, hand washable, machine washable Make your room more elegant! You can choose to use it as a game mat, crawling mat or even a yoga mat. Arrival time: 15~30 days",https://images-na.ssl-images-amazon.com/images/I/41fYFtreTNL._.jpg|https://images-na.ssl-images-amazon.com/images/I/61typdUJi4L._.jpg|https://images-na.ssl-images-amazon.com/images/I/51Y7xrluZ2L._.jpg|https://images-na.ssl-images-amazon.com/images/I/61tKt8TgfrL._.jpg
"TK Classics Cushions-BARBADOS-12a-TANGERINE Cushions Patio Furniture, Tangerine",cushion,arc media inc.,2580.53,"Subtle, simple accessories often create a luxurious, decorative touch. Case in pt.: our practically perfect outdoor cushions. Eachpiece enhances the look of patio furniture while making it a more comfortable place to kick back.",https://images-na.ssl-images-amazon.com/images/I/41bxlzQniHL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31xere%2B0TQL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31RB6%2B-tkQL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31GSAG3%2BpGL._.jpg|https://images-na.ssl-images-amazon.com/images/I/21is7SDWKXL._.jpg|https://images-na.ssl-images-amazon.com/images/I/21wOQwynUlL._.jpg
MYFT 2 Pieces of Set Christmas Stockings Pet Paw Pattern Stockings Fireplace Hanging Stockings for Pet and Christmas Decoration,decorations,hummingbird communications,48.54,"100% brand new and high quality. Features: Enough capacity:large capacity can hold many items, such as toys, candies and other Christmas presents Cute and interesting appearance: with a clear pet claws pattern on the front, look very adorable and delicate Widely applicable: you can put it on Christmas trees or put it in front of the fireplace to decorate your home, suitable for Christmas Day, parties, school, classroom, house decorations, good to bring festival atmosphere Soft material: made of polyester and velvet, comfortable and smooth to touch, durable and will not easy to break, can last for a long time Package includes: come with 2 pieces pet Christmas stockings, sufficient for you to use in festival or daily life Specification material: Fleece cloth, non-woven fabric, etc. Height: 45cm / 17.72inch Socks: 20cm/7.87inch Color: As is shown in picture Note: 1.Please allow 1-2cm error due to manual measurement. pls make sure you do not mind before you bid. 2.Due to the difference between different monitors, the picture may not reflect the actual color of the item. Thank you! Package includes(without retail package): 2 x christmas stockings",https://images-na.ssl-images-amazon.com/images/I/41aLBEsppnL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51I4sQ-LvoL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51Ttfi28RzL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51SY5aUOCiL._.jpg|https://images-na.ssl-images-amazon.com/images/I/5150i%2BUQwjL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41tesfFi7yL._.jpg|https://images-na.ssl-images-amazon.com/images/I/5127pTMMRLL._.jpg
uxcell Plastic Shell Suction Cup Wall Hook 4 Pcs Assorted Color,cup,microsoft,5.82,"Installation sites: Smooth surface (tile,glass ,graite ,stainless steel ,styrofoam plates and so on. No nails, No holes at wall). Applicated in kitchen, washroom, bedroom, wardrobe and so on. Please under 2Kg in each hook. Usage: Clean the surface of the wall with a dry cloth, then put the suction cup hardly until it sucks the surface.",https://images-na.ssl-images-amazon.com/images/I/31dgibGWLrL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31um-OjCIML._.jpg|https://images-na.ssl-images-amazon.com/images/I/31cnx2mXLgL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31NebUFqc3L._.jpg|https://images-na.ssl-images-amazon.com/images/I/31iSGiKbRVL._.jpg
"WYX Mirror Single Side Wall Hanging HD Imaging Wooden Frame Bathroom Dressing 2 Colours (Color : INKCOLOR, Size : 53X53CM)",Mirror,webroot software,260.75,"Name: Mirror quantity: 1 Color: brass, ink color Material: Silver, Oak Specifications: 53x53cm, 36x36cm product description: 1. The back has a hook design, can be installed on the wall, suitable for installation in the bathroom, bedroom, dressing room and other places 2. Glass is brittle, please check carefully when receiving the goods 3. products may have a slight color difference, please prevail in kind, manually measure the size, there is a 1-2 cm error",https://images-na.ssl-images-amazon.com/images/I/41BZ66P1xmL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41uwRdSUOLL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51EHuw7zH7L._.jpg|https://images-na.ssl-images-amazon.com/images/I/41nWF5UcCnL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41D5qW8vAZL._.jpg|https://images-na.ssl-images-amazon.com/images/I/61%2BC%2BBMldKL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51%2B636TT5AL._.jpg
